date,hub,hour,position,dart,pnl
2026-07-04,HB_HOUSTON,3,-1,1.23,-1.23
2026-07-04,HB_HOUSTON,4,-1,2.52,-2.52
2026-07-04,HB_HOUSTON,7,1,0.77,0.77
2026-07-04,HB_HOUSTON,9,1,0.88,0.88
2026-07-04,HB_HOUSTON,11,1,-1.66,-1.66
2026-07-04,HB_HOUSTON,12,1,-2.25,-2.25
2026-07-04,HB_HOUSTON,13,1,-1.34,-1.34
2026-07-04,HB_HOUSTON,14,1,1.4,1.4
2026-07-04,HB_HOUSTON,15,1,2.81,2.81
2026-07-04,HB_HOUSTON,17,1,-0.14,-0.14
2026-07-04,HB_HOUSTON,18,1,-4.15,-4.15
2026-07-04,HB_HOUSTON,19,1,-3.52,-3.52
2026-07-04,HB_HOUSTON,20,1,-0.32,-0.32
2026-07-04,HB_HOUSTON,21,1,-0.58,-0.58
2026-07-04,HB_HOUSTON,22,1,0.47,0.47
2026-07-04,HB_HOUSTON,23,1,-1.12,-1.12
2026-07-04,HB_NORTH,2,-1,1.89,-1.89
2026-07-04,HB_NORTH,3,-1,1.1,-1.1
2026-07-04,HB_NORTH,4,-1,2.47,-2.47
2026-07-04,HB_NORTH,7,1,0.76,0.76
2026-07-04,HB_NORTH,8,1,3.95,3.95
2026-07-04,HB_NORTH,9,1,3.39,3.39
2026-07-04,HB_NORTH,10,1,0.15,0.15
2026-07-04,HB_NORTH,11,1,-3.37,-3.37
2026-07-04,HB_NORTH,12,1,-3.15,-3.15
2026-07-04,HB_NORTH,13,1,-2.83,-2.83
2026-07-04,HB_NORTH,14,1,-2.82,-2.82
2026-07-04,HB_NORTH,15,1,-0.16,-0.16
2026-07-04,HB_NORTH,16,1,5.52,5.52
2026-07-04,HB_NORTH,17,1,-0.6,-0.6
2026-07-04,HB_NORTH,18,1,-6.51,-6.51
2026-07-04,HB_NORTH,19,1,-6.36,-6.36
2026-07-04,HB_NORTH,20,1,-4.13,-4.13
2026-07-04,HB_NORTH,21,1,-3.27,-3.27
2026-07-04,HB_NORTH,22,1,-0.3,-0.3
